      

20 porositë më të fundit

           orderid	     orderdate
-------------------------------------------------
 1          11077	2008-05-06 00:00:00.000
 2          11076	2008-05-06 00:00:00.000
 3          11075	2008-05-06 00:00:00.000
 4          11074	2008-05-06 00:00:00.000
 5          11073	2008-05-05 00:00:00.000
 6          11072	2008-05-05 00:00:00.000
 7          11071	2008-05-05 00:00:00.000
 8          11070	2008-05-05 00:00:00.000
 9          11069	2008-05-04 00:00:00.000
10          11068	2008-05-04 00:00:00.000
11          11067	2008-05-04 00:00:00.000
12          11066	2008-05-01 00:00:00.000
13          11065	2008-05-01 00:00:00.000
14          11064	2008-05-01 00:00:00.000
15          11063	2008-04-30 00:00:00.000
16          11062	2008-04-30 00:00:00.000
17          11061	2008-04-30 00:00:00.000
18          11060	2008-04-30 00:00:00.000
19          11059	2008-04-29 00:00:00.000
20          11058	2008-04-29 00:00:00.000
