 orderid	orderdate
-------------------------------
11077	2008-05-06 00:00:00.000  1
11076	2008-05-06 00:00:00.000  2
11075	2008-05-06 00:00:00.000  3
11074	2008-05-06 00:00:00.000  4 
11073	2008-05-05 00:00:00.000  5 
11072	2008-05-05 00:00:00.000  6 
11071	2008-05-05 00:00:00.000  7
11070	2008-05-05 00:00:00.000  8
11069	2008-05-04 00:00:00.000  9
11068	2008-05-04 00:00:00.000  10
11067	2008-05-04 00:00:00.000  11
11066	2008-05-01 00:00:00.000  12
11065	2008-05-01 00:00:00.000  13
11064	2008-05-01 00:00:00.000  14
11063	2008-04-30 00:00:00.000  15
11062	2008-04-30 00:00:00.000  16
11061	2008-04-30 00:00:00.000  17
11060	2008-04-30 00:00:00.000  18
11059	2008-04-29 00:00:00.000  19
11058	2008-04-29 00:00:00.000  20 
11057	2008-04-29 00:00:00.000
11056	2008-04-28 00:00:00.000
11055	2008-04-28 00:00:00.000
11054	2008-04-28 00:00:00.000
11053	2008-04-27 00:00:00.000
11052	2008-04-27 00:00:00.000
11051	2008-04-27 00:00:00.000
11050	2008-04-27 00:00:00.000
11049	2008-04-24 00:00:00.000
11048	2008-04-24 00:00:00.000
11047	2008-04-24 00:00:00.000
11046	2008-04-23 00:00:00.000
11045	2008-04-23 00:00:00.000
11044	2008-04-23 00:00:00.000
11043	2008-04-22 00:00:00.000
11042	2008-04-22 00:00:00.000
11041	2008-04-22 00:00:00.000
11040	2008-04-22 00:00:00.000
11039	2008-04-21 00:00:00.000
11038	2008-04-21 00:00:00.000
11037	2008-04-21 00:00:00.000
11036	2008-04-20 00:00:00.000
11035	2008-04-20 00:00:00.000
11034	2008-04-20 00:00:00.000
11033	2008-04-17 00:00:00.000
11032	2008-04-17 00:00:00.000
11031	2008-04-17 00:00:00.000
11030	2008-04-17 00:00:00.000
11029	2008-04-16 00:00:00.000
11028	2008-04-16 00:00:00.000
11027	2008-04-16 00:00:00.000
11026	2008-04-15 00:00:00.000
11025	2008-04-15 00:00:00.000
11024	2008-04-15 00:00:00.000
11023	2008-04-14 00:00:00.000
11022	2008-04-14 00:00:00.000
11021	2008-04-14 00:00:00.000
11020	2008-04-14 00:00:00.000
11019	2008-04-13 00:00:00.000
11018	2008-04-13 00:00:00.000
11017	2008-04-13 00:00:00.000
11016	2008-04-10 00:00:00.000
11015	2008-04-10 00:00:00.000
11014	2008-04-10 00:00:00.000
11013	2008-04-09 00:00:00.000
11012	2008-04-09 00:00:00.000
11011	2008-04-09 00:00:00.000
11010	2008-04-09 00:00:00.000
11009	2008-04-08 00:00:00.000
11008	2008-04-08 00:00:00.000
11007	2008-04-08 00:00:00.000
11006	2008-04-07 00:00:00.000
11005	2008-04-07 00:00:00.000
11004	2008-04-07 00:00:00.000
11003	2008-04-06 00:00:00.000
11002	2008-04-06 00:00:00.000
11001	2008-04-06 00:00:00.000
11000	2008-04-06 00:00:00.000
10999	2008-04-03 00:00:00.000
10998	2008-04-03 00:00:00.000
10997	2008-04-03 00:00:00.000
10996	2008-04-02 00:00:00.000
10995	2008-04-02 00:00:00.000
10994	2008-04-02 00:00:00.000
10993	2008-04-01 00:00:00.000
10992	2008-04-01 00:00:00.000
10991	2008-04-01 00:00:00.000
10990	2008-04-01 00:00:00.000
10989	2008-03-31 00:00:00.000
10988	2008-03-31 00:00:00.000
10987	2008-03-31 00:00:00.000
10986	2008-03-30 00:00:00.000
10985	2008-03-30 00:00:00.000
10984	2008-03-30 00:00:00.000
10983	2008-03-27 00:00:00.000
10982	2008-03-27 00:00:00.000
10981	2008-03-27 00:00:00.000
10980	2008-03-27 00:00:00.000
10979	2008-03-26 00:00:00.000
10978	2008-03-26 00:00:00.000
10977	2008-03-26 00:00:00.000
10976	2008-03-25 00:00:00.000
10975	2008-03-25 00:00:00.000
10974	2008-03-25 00:00:00.000
10973	2008-03-24 00:00:00.000
10972	2008-03-24 00:00:00.000
10971	2008-03-24 00:00:00.000
10970	2008-03-24 00:00:00.000
10969	2008-03-23 00:00:00.000
10968	2008-03-23 00:00:00.000
10967	2008-03-23 00:00:00.000
10966	2008-03-20 00:00:00.000
10965	2008-03-20 00:00:00.000
10964	2008-03-20 00:00:00.000
10963	2008-03-19 00:00:00.000
10962	2008-03-19 00:00:00.000
10961	2008-03-19 00:00:00.000
10960	2008-03-19 00:00:00.000
10959	2008-03-18 00:00:00.000
10958	2008-03-18 00:00:00.000
10957	2008-03-18 00:00:00.000
10956	2008-03-17 00:00:00.000
10955	2008-03-17 00:00:00.000
10954	2008-03-17 00:00:00.000
10953	2008-03-16 00:00:00.000
10952	2008-03-16 00:00:00.000
10951	2008-03-16 00:00:00.000
10950	2008-03-16 00:00:00.000
10949	2008-03-13 00:00:00.000
10948	2008-03-13 00:00:00.000
10947	2008-03-13 00:00:00.000
10946	2008-03-12 00:00:00.000
10945	2008-03-12 00:00:00.000
10944	2008-03-12 00:00:00.000
10943	2008-03-11 00:00:00.000
10942	2008-03-11 00:00:00.000
10941	2008-03-11 00:00:00.000
10940	2008-03-11 00:00:00.000
10939	2008-03-10 00:00:00.000
10938	2008-03-10 00:00:00.000
10937	2008-03-10 00:00:00.000
10936	2008-03-09 00:00:00.000
10935	2008-03-09 00:00:00.000
10934	2008-03-09 00:00:00.000
10933	2008-03-06 00:00:00.000
10932	2008-03-06 00:00:00.000
10931	2008-03-06 00:00:00.000
10930	2008-03-06 00:00:00.000
10929	2008-03-05 00:00:00.000
10928	2008-03-05 00:00:00.000
10927	2008-03-05 00:00:00.000
10926	2008-03-04 00:00:00.000
10925	2008-03-04 00:00:00.000
10924	2008-03-04 00:00:00.000
10923	2008-03-03 00:00:00.000
10922	2008-03-03 00:00:00.000
10921	2008-03-03 00:00:00.000
10920	2008-03-03 00:00:00.000
10919	2008-03-02 00:00:00.000
10918	2008-03-02 00:00:00.000
10917	2008-03-02 00:00:00.000
10916	2008-02-27 00:00:00.000
10915	2008-02-27 00:00:00.000
10914	2008-02-27 00:00:00.000
10913	2008-02-26 00:00:00.000
10912	2008-02-26 00:00:00.000
10911	2008-02-26 00:00:00.000
10910	2008-02-26 00:00:00.000
10909	2008-02-26 00:00:00.000
10908	2008-02-26 00:00:00.000
10907	2008-02-25 00:00:00.000
10906	2008-02-25 00:00:00.000
10905	2008-02-24 00:00:00.000
10904	2008-02-24 00:00:00.000
10903	2008-02-24 00:00:00.000
10902	2008-02-23 00:00:00.000
10901	2008-02-23 00:00:00.000
10900	2008-02-20 00:00:00.000
10899	2008-02-20 00:00:00.000
