

           orderid	orderdate
1           11057	2008-04-29 00:00:00.000
2           11056	2008-04-28 00:00:00.000
3           11055	2008-04-28 00:00:00.000
4           11054	2008-04-28 00:00:00.000
5           11053	2008-04-27 00:00:00.000
6           11052	2008-04-27 00:00:00.000
7           11051	2008-04-27 00:00:00.000
8           11050	2008-04-27 00:00:00.000
9           11049	2008-04-24 00:00:00.000
10          11048	2008-04-24 00:00:00.000
11          11047	2008-04-24 00:00:00.000
12          11046	2008-04-23 00:00:00.000
13          11045	2008-04-23 00:00:00.000
14          11044	2008-04-23 00:00:00.000
15          11043	2008-04-22 00:00:00.000
16          11042	2008-04-22 00:00:00.000
17          11041	2008-04-22 00:00:00.000
18          11040	2008-04-22 00:00:00.000
19          11039	2008-04-21 00:00:00.000
20          11038	2008-04-21 00:00:00.000
